LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
Hammersmith and Fulham,E09000013,1.53,183.16,155.76,35.93,326.21,378.44,103.65,368.74,590.02,30.59,10.62,227.93,137.82,57.63,18.12,2.07,554.79,22.7,266.76
Harborough,E07000131,1.55,97.63,176.13,43.02,151.91,408.74,220.2,447.94,515.02,29.19,7.8,239.58,127.75,39.93,6.4,0.29,502.24,13.12,308.43
Haringey,E09000014,1.79,264.23,182.55,43.82,250.79,417.99,104.85,420.9,530.53,36.19,12.39,172.29,134.65,66.72,21.78,2.3,531.28,22.51,263.68
Harlow,E07000073,2.01,93.33,216.73,42.74,204.37,390.29,145.87,471.63,477.41,39.2,11.69,174.13,143.54,68.04,17.88,2.01,506.57,16.56,260.1
Harrow,E09000015,2.47,261.2,197.48,45.07,206.95,396.67,153.83,446.02,515.13,29.54,9.32,167.23,118.5,45.99,10.58,0.89,490.94,20.32,291.27
Hart,E07000089,1.51,99.41,191.93,44.93,154.26,411.96,196.91,422.98,548.79,21.9,6.32,243.96,119.7,32.83,5.29,0.23,513.48,13.74,280.81
Hartlepool,E06000001,2.71,92.33,191.19,43.45,178.58,389.33,197.46,489.14,431.23,60.92,18.76,186.95,148.75,81.98,24.67,0.92,427.65,13.69,367.51
Hastings,E07000062,2.64,91.01,179.03,40.18,174.25,404.15,202.38,505.31,421.9,55.22,17.45,186.88,155.74,76.93,22.81,2.12,468.41,12.57,339.87
Havant,E07000090,2.38,124.21,171.82,39.55,162.73,382.6,243.3,500.84,443.03,43.77,12.36,196.46,152.54,64.57,16.26,1.62,463.54,14.29,350.35
Havering,E09000016,3.22,262.06,199.67,43.36,192.09,388.94,175.94,456.6,498.99,34.12,10.27,182.8,133.43,56.7,12.73,0.81,490.43,14.92,294.97
Herefordshire,E06000019,1.57,187.04,159.87,38.45,151.63,390.88,259.18,490.25,457.24,40.85,11.64,218.89,153.39,57.53,12.21,0.8,481.04,11.7,347.36
Hertsmere,E07000098,2.95,107.82,200.64,43.74,170.25,407.89,177.48,426.54,534.7,29.72,9.1,205.35,131.21,47.96,10.64,0.7,500.23,14.75,284.42
High Peak,E07000037,2.62,90.93,167.96,38.11,158.04,417.74,218.15,473.88,476.2,38.88,11.07,233.39,146.88,55.25,12.35,0.52,499.41,11.77,320.92
Hillingdon,E09000017,2.31,305.92,209.31,48.61,210.06,397.42,134.6,447.22,513.13,30.22,9.4,163.89,124.89,53.77,13.44,1.07,483.15,21.69,285.83
Hinckley and Bosworth,E07000132,1.82,113.64,173.55,38.28,165.81,398.78,223.58,487.16,465.62,36.64,10.58,223.7,146.58,53.8,10.56,0.47,498.08,11.81,316.54
Horsham,E07000227,1.53,146.78,177.91,40.42,150.84,402.97,227.86,449.97,514.74,27.71,7.6,240.99,134.91,41.13,7.3,0.6,499.47,12.04,310.58
Hounslow,E09000018,1.97,288.18,206.47,43.93,216.78,415.02,117.8,439.44,519.2,31.29,10.07,157.56,125.86,57.21,15.19,1.46,501.95,20.65,270.91
Huntingdonshire,E07000011,1.38,180.83,180.12,38.34,173.32,406.15,202.07,478.87,478.77,33.65,8.72,227.86,140.01,47.43,9.4,0.45,511.65,12.87,295.36
Hyndburn,E07000120,2.57,82.24,201.91,47.27,189.09,379.26,182.47,490.77,439.24,53.35,16.62,179.56,144.06,74.08,24.14,1.22,444.65,15.53,337.91
